('1.83to1.93', 'fpfs', 1.7344232640141945e-13, 'line cutoff', 21, 'integral', 484.04139599999996, 'together', 1.7630185817334451e-09)
('1.84to1.94', 'fpfs', 2.1948054489350091e-13, 'line cutoff', 17, 'integral', 480.97116549999998, 'together', 1.7945848291940374e-09)
('1.85to1.95', 'fpfs', 2.1751307822047083e-13, 'line cutoff', 20, 'integral', 477.77667099999996, 'together', 2.078453488222783e-09)
('1.86to1.96', 'fpfs', 2.1646940029957084e-13, 'line cutoff', 16, 'integral', 474.548586, 'together', 1.6436039651908692e-09)
('1.87to1.97', 'fpfs', 1.9211413162166285e-13, 'line cutoff', 15, 'integral', 471.28637900000001, 'together', 1.3581116017005434e-09)
('1.88to1.98', 'fpfs', 1.7102119429233227e-13, 'line cutoff', 9, 'integral', 469.87861550000002, 'together', 7.2323281795713835e-10)
('1.89to1.99', 'fpfs', 1.4485484797828673e-13, 'line cutoff', 10, 'integral', 466.46623150000005, 'together', 6.7569895050936803e-10)
('1.9to2.0', 'fpfs', 6.4544425152123142e-14, 'line cutoff', 10, 'integral', 463.01854600000001, 'together', 2.9885265886341891e-10)
('1.91to2.01', 'fpfs', 5.4136076120950091e-16, 'line cutoff', 4, 'integral', 459.53501399999999, 'together', 9.9509689992583455e-13)
('1.92to2.02', 'fpfs', 1.1185521999443509e-17, 'line cutoff', 4, 'integral', 457.94463600000006, 'together', 2.0489399202020601e-14)
('1.93to2.03', 'fpfs', 1.1123053239300255e-17, 'line cutoff', 4, 'integral', 454.30802349999999, 'together', 2.0213169329727084e-14)
('1.94to2.04', 'fpfs', 1.1002307232473942e-17, 'line cutoff', 3, 'integral', 452.67424000000005, 'together', 1.4941383194119936e-14)
('1.95to2.05', 'fpfs', 1.4409117672862007e-17, 'line cutoff', 5, 'integral', 448.88321900000005, 'together', 3.2340055619720438e-14)
('1.96to2.06', 'fpfs', 2.2934941753162345e-17, 'line cutoff', 6, 'integral', 447.11434650000001, 'together', 6.1527248963884484e-14)
('1.97to2.07', 'fpfs', 2.6873776486872654e-17, 'line cutoff', 6, 'integral', 445.32758250000001, 'together', 7.1805803493266044e-14)
('1.98to2.08', 'fpfs', 2.9416235015936604e-17, 'line cutoff', 3, 'integral', 441.4425675, 'together', 3.8956734934855374e-14)
('1.99to2.09', 'fpfs', 2.9210562897524712e-17, 'line cutoff', 3, 'integral', 439.51887699999997, 'together', 3.8515781403773777e-14)
('2.0to2.1', 'fpfs', 3.1463388653768513e-17, 'line cutoff', 3, 'integral', 437.57622800000001, 'together', 4.1302892781642072e-14)
('2.01to2.11', 'fpfs', 3.4616120938016862e-17, 'line cutoff', 4, 'integral', 433.50441349999994, 'together', 6.0024964819520276e-14)
('2.02to2.12', 'fpfs', 4.0933002199606928e-17, 'line cutoff', 4, 'integral', 431.51270649999998, 'together', 7.0652442257291348e-14)
('2.03to2.13', 'fpfs', 5.2703322203342612e-17, 'line cutoff', 5, 'integral', 429.4115364999999, 'together', 1.1315707282995954e-13)
('2.04to2.14', 'fpfs', 1.7989335780467855e-15, 'line cutoff', 6, 'integral', 425.239484, 'together', 4.5898655188733329e-12)
('2.05to2.15', 'fpfs', 3.4858478535804191e-13, 'line cutoff', 8, 'integral', 422.99835999999999, 'together', 1.1796063402192298e-09)
('2.06to2.16', 'fpfs', 1.6192321312397858e-12, 'line cutoff', 8, 'integral', 420.82539149999997, 'together', 5.4513119644668972e-09)
('2.07to2.17', 'fpfs', 1.9973805423017019e-12, 'line cutoff', 8, 'integral', 416.46129399999995, 'together', 6.6546534820591071e-09)
('2.08to2.18', 'fpfs', 2.032525169148335e-12, 'line cutoff', 7, 'integral', 414.146704, 'together', 5.8923451971987776e-09)
('2.09to2.19', 'fpfs', 3.3535974666314468e-12, 'line cutoff', 7, 'integral', 411.81028449999997, 'together', 9.6673214878238267e-09)
('2.1to2.2', 'fpfs', 2.3518696951631223e-12, 'line cutoff', 9, 'integral', 409.451728, 'together', 8.6667939964383634e-09)
('2.11to2.21', 'fpfs', 8.3313974048512042e-13, 'line cutoff', 14, 'integral', 409.19227899999998, 'together', 4.7728008878840492e-09)
('2.12to2.22', 'fpfs', 2.5674780390147035e-13, 'line cutoff', 12, 'integral', 404.578889, 'together', 1.2464968950677609e-09)
('2.13to2.23', 'fpfs', 3.0365581542225898e-14, 'line cutoff', 12, 'integral', 402.06421, 'together', 1.4650696264758764e-10)
('2.14to2.24', 'fpfs', 4.6165415507577005e-15, 'line cutoff', 8, 'integral', 399.52636599999994, 'together', 1.4755440554097826e-11)
('2.15to2.25', 'fpfs', 4.2519203815143009e-16, 'line cutoff', 4, 'integral', 399.12695400000001, 'together', 6.7882241220972838e-13)
('2.16to2.26', 'fpfs', 2.7212226203325379e-16, 'line cutoff', 6, 'integral', 396.55212649999999, 'together', 6.4746397006366199e-13)
('2.17to2.27', 'fpfs', 2.6295105713565613e-16, 'line cutoff', 15, 'integral', 393.86557749999997, 'together', 1.5535105495945604e-12)
('2.18to2.28', 'fpfs', 2.5997403661280751e-16, 'line cutoff', 14, 'integral', 393.43474349999997, 'together', 1.4319594577598734e-12)
('2.19to2.29', 'fpfs', 2.5708853302492527e-16, 'line cutoff', 14, 'integral', 390.70978149999996, 'together', 1.4062580639005371e-12)
('2.2to2.3', 'fpfs', 2.571082390505753e-16, 'line cutoff', 27, 'integral', 387.96025150000003, 'together', 2.6931899812891497e-12)
('2.21to2.31', 'fpfs', 2.6102014362735394e-16, 'line cutoff', 18, 'integral', 382.87608349999999, 'together', 1.7988906655196778e-12)
('2.22to2.32', 'fpfs', 2.5952124018214818e-16, 'line cutoff', 19, 'integral', 382.29911900000002, 'together', 1.8850800881850303e-12)
('2.23to2.33', 'fpfs', 2.6469819551534564e-16, 'line cutoff', 11, 'integral', 381.71701250000001, 'together', 1.111437848468845e-12)
('2.24to2.34', 'fpfs', 2.9037900655098931e-16, 'line cutoff', 20, 'integral', 378.78969549999999, 'together', 2.1998515094208349e-12)
('2.25to2.35', 'fpfs', 3.242706222433852e-16, 'line cutoff', 18, 'integral', 375.8367465, 'together', 2.1937106816907194e-12)
('2.26to2.36', 'fpfs', 3.5581162894548309e-16, 'line cutoff', 17, 'integral', 372.85782800000004, 'together', 2.2553415694778311e-12)
('2.27to2.37', 'fpfs', 4.1127030405272293e-16, 'line cutoff', 12, 'integral', 372.13596849999999, 'together', 1.8365816749673942e-12)
('2.28to2.38', 'fpfs', 4.3978629270309275e-16, 'line cutoff', 12, 'integral', 369.11455449999994, 'together', 1.9479782580757039e-12)
('2.29to2.39', 'fpfs', 5.0072466423476491e-16, 'line cutoff', 8, 'integral', 365.98032850000004, 'together', 1.466043016837532e-12)
('2.3to2.4', 'fpfs', 5.5606847515739161e-16, 'line cutoff', 12, 'integral', 365.21906100000001, 'together', 2.4370416761842129e-12)
('2.31to2.41', 'fpfs', 6.8094533441401006e-16, 'line cutoff', 6, 'integral', 364.3648905, 'together', 1.4886754332614802e-12)
('2.32to2.42', 'fpfs', 7.6712973982267556e-16, 'line cutoff', 7, 'integral', 361.17017199999998, 'together', 1.9394506605464968e-12)
('2.33to2.43', 'fpfs', 9.3028608968680081e-16, 'line cutoff', 8, 'integral', 357.94802650000003, 'together', 2.6639525590703392e-12)
('2.34to2.44', 'fpfs', 1.0820684793620822e-15, 'line cutoff', 8, 'integral', 357.05242800000002, 'together', 3.0908414225479949e-12)
('2.35to2.45', 'fpfs', 1.2699996809341712e-15, 'line cutoff', 10, 'integral', 356.14929000000001, 'together', 4.5230948466493166e-12)
('2.36to2.46', 'fpfs', 1.4504000626981351e-15, 'line cutoff', 11, 'integral', 352.77879399999995, 'together', 5.6283742342978964e-12)
('2.37to2.47', 'fpfs', 1.7844337053468746e-15, 'line cutoff', 7, 'integral', 351.84995750000007, 'together', 4.3949704637150589e-12)
('2.38to2.48', 'fpfs', 2.0593862392410006e-15, 'line cutoff', 12, 'integral', 348.43335200000001, 'together', 8.6107062048169898e-12)
('2.39to2.49', 'fpfs', 2.5667101319389276e-15, 'line cutoff', 9, 'integral', 347.39305899999999, 'together', 8.0249155587050185e-12)
('2.4to2.5', 'fpfs', 3.0562200296536567e-15, 'line cutoff', 7, 'integral', 343.92975550000006, 'together', 7.3578750528708956e-12)
('2.41to2.51', 'fpfs', 4.1767746499898893e-15, 'line cutoff', 8, 'integral', 342.86254800000006, 'together', 1.1456476791338736e-11)
('2.42to2.52', 'fpfs', 5.6264967504478316e-15, 'line cutoff', 7, 'integral', 341.78661949999992, 'together', 1.3461429127743092e-11)
('2.43to2.53', 'fpfs', 6.7037796666307501e-15, 'line cutoff', 5, 'integral', 340.701865, 'together', 1.1419951174850874e-11)
('2.44to2.54', 'fpfs', 7.0227435111327928e-15, 'line cutoff', 6, 'integral', 337.0684905, 'together', 1.4202873326797202e-11)
